id_transaccion,fecha,producto,categoria,cantidad,precio,total,segmento_cliente,estado
1,5/24/2025,Router,Red,2,767.0497134,1534.1,Individual,Completada
2,12/11/2025,Webcam,Video,2,245.2971489,490.59,,Completada
3,9/23/2025,SSD,Almacenamiento,3,591.648209,1774.94,Individual,Completada
4,8/22/2025,Auriculares,Audio,2,613.8470645,1227.69,Individual,Completada
5,3/20/2025,Teclado,Accesorios,1,1134.494929,1134.49,PYME,Completada
6,3/13/2025,Router,Red,2,509.7826604,1019.57,Individual,Completada
7,1/27/2025,SSD,Almacenamiento,2,834.4924228,1668.98,PYME,Completada
8,11/13/2025,Tablet,Computo,1,514.5674124,514.57,Individual,Completada
9,8/9/2025,Teclado,Accesorios,1,776.885309,776.89,Individual,Completada
10,9/2/2025,Dock USB,Accesorios,1,1008.781179,1008.78,Individual,Completada
11,1/16/2025,Auriculares,Audio,3,961.8177785,2885.45,Individual,Completada
12,12/22/2025,Auriculares,Audio,3,1065.963767,3197.89,Individual,Completada
13,11/20/2025,Mouse,Accesorios,3,761.1236968,2283.37,Individual,Completada
14,3/2/2025,Router,Red,2,1176.235014,2352.47,Individual,Completada
15,3/17/2025,Teclado,Accesorios,3,934.2306464,2802.69,Individual,Completada
16,3/26/2025,Webcam,Video,3,672.3851143,2017.16,PYME,Completada
17,4/21/2025,Webcam,Video,3,576.5042339,1729.51,Individual,Completada
18,7/27/2025,SSD,Almacenamiento,3,303.7858482,911.36,Individual,Completada
19,6/12/2025,Laptop,Computo,1,833.0430715,833.04,Individual,Completada
20,4/13/2025,Mouse,Accesorios,2,1423.626417,2847.25,PYME,Completada
21,8/3/2025,Auriculares,Audio,1,472.4891433,472.49,PYME,Completada
22,3/16/2025,SSD,Almacenamiento,2,1207.297986,2414.6,,Completada
23,4/24/2025,Router,Red,3,1417.19321,4251.58,PYME,Completada
24,5/27/2025,Teclado,Accesorios,3,1442.397741,4327.19,Individual,Completada
25,6/11/2025,SSD,Almacenamiento,2,1258.07987,2516.16,Individual,Completada
26,10/15/2025,Teclado,Accesorios,1,260.6779483,260.68,Empresa,Completada
27,3/25/2025,Teclado,Accesorios,3,1481.217672,4443.65,PYME,Completada
28,7/28/2025,SSD,Almacenamiento,1,707.4973715,707.5,PYME,Completada
29,8/18/2025,Monitor,Pantallas,3,509.2881894,1527.86,Individual,Completada
30,1/22/2025,SSD,Almacenamiento,1,537.7347276,537.73,Individual,Completada
31,8/14/2025,Laptop,Computo,2,790.148969,1580.3,Empresa,Completada
32,3/23/2025,Tablet,Computo,2,991.1408744,1982.28,Individual,Completada
33,2/16/2025,Teclado,Accesorios,1,131.4865987,131.49,Individual,Completada
34,12/11/2025,Monitor,Pantallas,3,961.1479155,2883.44,PYME,Completada
35,11/27/2025,SSD,Almacenamiento,1,1421.799263,1421.8,Individual,Completada
36,10/6/2025,Laptop,Computo,2,948.9157161,1897.83,PYME,Completada
37,4/9/2025,Laptop,Computo,1,337.7172173,337.72,PYME,Completada
38,2/16/2025,Router,Red,3,899.4973544,2698.49,PYME,Completada
39,8/29/2025,Laptop,Computo,3,355.845821,1067.54,Individual,Completada
40,6/13/2025,Router,Red,1,374.5550616,374.56,Individual,Completada
41,2/26/2025,Laptop,Computo,1,447.4980862,447.5,PYME,Completada
42,6/19/2025,Router,Red,2,373.5700574,747.14,PYME,Completada
43,1/3/2025,Webcam,Video,3,1314.169448,3942.51,,Completada
44,12/16/2025,Teclado,Accesorios,3,871.7675698,2615.3,PYME,Cancelada
45,4/15/2025,Webcam,Video,2,1001.17586,2002.35,,Completada
46,9/16/2025,Auriculares,Audio,3,1022.303063,3066.91,PYME,Completada
47,4/27/2025,Tablet,Computo,2,879.7095807,1759.42,PYME,Completada
48,7/24/2025,Dock USB,Accesorios,1,1335.965713,1335.97,Empresa,Completada
49,7/15/2025,Teclado,Accesorios,3,1296.513244,3889.54,Empresa,Completada
50,3/8/2025,Monitor,Pantallas,2,1163.547658,2327.1,Individual,Completada
51,12/12/2025,Router,Red,1,477.6052079,477.61,Individual,Completada
52,9/30/2025,Teclado,Accesorios,3,989.7142539,2969.14,Empresa,Completada
53,12/19/2025,Monitor,Pantallas,3,533.0492367,1599.15,PYME,Completada
54,12/6/2025,Router,Red,2,1314.082117,2628.16,Empresa,Completada
55,8/22/2025,Tablet,Computo,2,1334.958298,2669.92,Empresa,Completada
56,11/30/2025,Teclado,Accesorios,2,918.5976366,1837.2,Individual,Completada
57,2/7/2025,Router,Red,1,1304.508722,1304.51,PYME,Completada
58,3/15/2025,Webcam,Video,3,1133.424989,3400.27,Empresa,Completada
59,1/9/2025,Webcam,Video,2,1443.616314,2887.23,Individual,Completada
